time,source,destination,cwnd,mss
2024-10-14T21:51:34.484, 10.0.1.100:22, 10.0.1.1:53450, 10, 1448
2024-10-14T21:51:59.373, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:04.206, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:04.206, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:04.206, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:11.023, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:11.023, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:11.023, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:17.283, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:17.283, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:17.283, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:23.158, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:23.158, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:23.158, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:29.789, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:29.789, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:29.789, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:36.208, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:36.208, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:36.208, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:37.666, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:37.666, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:37.666, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:38.758, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:38.758, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:38.758, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:39.850, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:39.850, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
2024-10-14T21:52:39.850, 10.0.1.100:57990, 10.0.1.101:5211, 14, 1448
2024-10-14T21:52:41.064, 10.0.1.100:22, 10.0.1.1:60436, 10, 1448
2024-10-14T21:52:41.064, 10.0.1.100:58000, 10.0.1.101:5211, 10, 1448
