time,source,destination,cwnd,mss
2024-10-18T09:34:17.619, 10.0.4.101:22, 10.0.4.1:59266, 10, 1448
2024-10-18T09:34:58.795, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:58.940, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:58.940, 10.0.4.101:53698, 10.0.1.101:5212, 18, 1448
2024-10-18T09:34:58.940, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:34:59.092, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:59.092, 10.0.4.101:53698, 10.0.1.101:5212, 12, 1448
2024-10-18T09:34:59.092, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:34:59.247, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:59.247, 10.0.4.101:53698, 10.0.1.101:5212, 16, 1448
2024-10-18T09:34:59.247, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:34:59.406, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:59.406, 10.0.4.101:53698, 10.0.1.101:5212, 13, 1448
2024-10-18T09:34:59.406, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:34:59.560, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:59.560, 10.0.4.101:53698, 10.0.1.101:5212, 14, 1448
2024-10-18T09:34:59.560, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:34:59.708, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:59.708, 10.0.4.101:53698, 10.0.1.101:5212, 15, 1448
2024-10-18T09:34:59.708, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:34:59.869, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:34:59.869, 10.0.4.101:53698, 10.0.1.101:5212, 13, 1448
2024-10-18T09:34:59.869, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:35:00.010, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:35:00.010, 10.0.4.101:53698, 10.0.1.101:5212, 14, 1448
2024-10-18T09:35:00.010, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:35:00.166, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:35:00.166, 10.0.4.101:53698, 10.0.1.101:5212, 11, 1448
2024-10-18T09:35:00.166, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:35:00.315, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:35:00.315, 10.0.4.101:53698, 10.0.1.101:5212, 13, 1448
2024-10-18T09:35:00.315, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
2024-10-18T09:35:00.461, 10.0.4.101:22, 10.0.4.1:51070, 10, 1448
2024-10-18T09:35:00.461, 10.0.4.101:53698, 10.0.1.101:5212, 12, 1448
2024-10-18T09:35:00.461, 10.0.4.101:53692, 10.0.1.101:5212, 16, 1448
