time,source,destination,cwnd,mss
2024-10-21T12:46:03.737, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:03.737, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:03.853, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:03.853, 10.0.3.101:34498, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:03.853, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:03.853, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:04.160, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:04.160, 10.0.3.101:34498, 10.0.1.101:5210, 160, 1448
2024-10-21T12:46:04.160, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:04.160, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:04.478, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:04.478, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:04.478, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:04.478, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:04.758, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:04.758, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:04.758, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:04.758, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:05.045, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:05.045, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:05.045, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:05.045, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:05.334, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:05.334, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:05.334, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:05.334, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:05.596, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:05.596, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:05.596, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:05.596, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:05.859, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:05.859, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:05.859, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:05.859, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:06.099, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:06.099, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:06.099, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:06.099, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:06.428, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:06.428, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:06.428, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:06.428, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:06.706, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:06.706, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:06.706, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:06.706, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:06.968, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:06.968, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:06.968, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:06.968, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:07.232, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:07.232, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:07.232, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:07.232, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:07.496, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:07.496, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:07.496, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:07.496, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:07.754, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:07.754, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:07.754, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:07.754, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:08.005, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:08.005, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:08.005, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
2024-10-21T12:46:08.005, 10.0.1.101:5210, 10.0.3.101:34484, 10, 1448
2024-10-21T12:46:08.302, 10.0.1.101:5210, 10.0.3.101:34498, 10, 1448
2024-10-21T12:46:08.302, 10.0.3.101:34498, 10.0.1.101:5210, 1890, 1448
2024-10-21T12:46:08.302, 10.0.3.101:34484, 10.0.1.101:5210, 10, 1448
