time,source,destination,cwnd,mss
2024-11-04T20:03:07.995, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:07.995, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:07.995, 10.0.2.101:60016, 10.0.1.101:5210, 168, 1448
2024-11-04T20:03:07.995, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:08.227, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.227, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:08.227, 10.0.2.101:60016, 10.0.1.101:5210, 172, 1448
2024-11-04T20:03:08.227, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:08.453, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.453, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:08.453, 10.0.2.101:60016, 10.0.1.101:5210, 148, 1448
2024-11-04T20:03:08.453, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:08.694, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.694, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:08.694, 10.0.2.101:60016, 10.0.1.101:5210, 146, 1448
2024-11-04T20:03:08.694, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:08.935, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.935, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:08.935, 10.0.2.101:60016, 10.0.1.101:5210, 172, 1448
2024-11-04T20:03:08.935, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:09.168, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.168, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:09.168, 10.0.2.101:60016, 10.0.1.101:5210, 154, 1448
2024-11-04T20:03:09.168, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:09.405, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.405, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:09.405, 10.0.2.101:60016, 10.0.1.101:5210, 176, 1448
2024-11-04T20:03:09.405, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:09.629, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.629, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:09.629, 10.0.2.101:60016, 10.0.1.101:5210, 182, 1448
2024-11-04T20:03:09.629, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:09.866, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.866, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:09.866, 10.0.2.101:60016, 10.0.1.101:5210, 146, 1448
2024-11-04T20:03:09.866, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:10.115, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.115, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:10.115, 10.0.2.101:60016, 10.0.1.101:5210, 180, 1448
2024-11-04T20:03:10.115, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:10.359, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.359, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:10.359, 10.0.2.101:60016, 10.0.1.101:5210, 174, 1448
2024-11-04T20:03:10.359, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:10.597, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.597, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:10.597, 10.0.2.101:60016, 10.0.1.101:5210, 192, 1448
2024-11-04T20:03:10.597, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:10.841, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.841, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:10.841, 10.0.2.101:60016, 10.0.1.101:5210, 180, 1448
2024-11-04T20:03:10.841, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:11.085, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.085, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:11.085, 10.0.2.101:60016, 10.0.1.101:5210, 158, 1448
2024-11-04T20:03:11.085, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:11.330, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.330, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:11.330, 10.0.2.101:60016, 10.0.1.101:5210, 150, 1448
2024-11-04T20:03:11.330, 10.0.1.101:5210, 10.0.2.101:60002, 13, 1448
2024-11-04T20:03:11.582, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.582, 10.0.2.101:60002, 10.0.1.101:5210, 13, 1448
2024-11-04T20:03:11.582, 10.0.2.101:60016, 10.0.1.101:5210, 174, 1448
