time,source,destination,cwnd,mss
2024-11-04T20:03:07.500, 10.0.1.101:22, 10.0.1.1:45202, 11, 1448
2024-11-04T20:03:07.854, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:07.854, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:07.974, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:07.974, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.093, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.093, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.214, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.214, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.334, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.334, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.454, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.454, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.576, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.576, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.697, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.697, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.821, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.821, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:08.942, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:08.942, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.065, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.065, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.189, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.189, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.311, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.311, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.430, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.430, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.554, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.554, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.677, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.677, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.807, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.807, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:09.931, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:09.931, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.059, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.059, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.183, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.183, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.309, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.309, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.432, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.432, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.560, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.560, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.685, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.685, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.812, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.812, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:10.940, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:10.940, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.068, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.068, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.193, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.193, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.321, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.321, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.449, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.449, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.593, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.593, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.723, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.723, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.858, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.858, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:11.987, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:11.987, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:12.117, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:12.117, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:12.247, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:12.247, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:12.378, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:12.378, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:12.507, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:12.507, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:12.642, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:12.642, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:12.774, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:12.774, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:12.904, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:12.904, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.035, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.035, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.166, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.166, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.302, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.302, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.432, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.432, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.563, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.563, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.695, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.695, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.831, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.831, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:13.962, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:13.962, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
2024-11-04T20:03:14.095, 10.0.1.101:5210, 10.0.2.101:60016, 10, 1448
2024-11-04T20:03:14.095, 10.0.1.101:5210, 10.0.2.101:60002, 14, 1448
