time,source,destination,cwnd,mss
2024-11-04T20:04:15.076, 10.0.1.101:22, 10.0.1.1:55698, 10, 1448
2024-11-04T20:04:15.544, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:15.544, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:15.741, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:15.741, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:15.917, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:15.917, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:16.097, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:16.097, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:16.274, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:16.274, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:16.451, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:16.451, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:16.629, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:16.629, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:16.809, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:16.809, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:16.982, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:16.982, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:17.154, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:17.154, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:17.327, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:17.327, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:17.502, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:17.502, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:17.673, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:17.673, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:17.846, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:17.846, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:18.025, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:18.025, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:18.199, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:18.199, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:18.371, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:18.371, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:18.546, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:18.546, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:18.718, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:18.718, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:18.892, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:18.892, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:19.067, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:19.067, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:19.239, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:19.239, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:19.414, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:19.414, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:19.590, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:19.590, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:19.766, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:19.766, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:19.943, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:19.943, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:20.119, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:20.119, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:20.299, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:20.299, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:20.471, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:20.471, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:20.643, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:20.643, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:20.823, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:20.823, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:20.997, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:20.997, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:21.171, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:21.171, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:21.346, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:21.346, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:21.523, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:21.523, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:21.702, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:21.702, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:21.879, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:21.879, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:22.057, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:22.057, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:22.229, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:22.229, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:22.408, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:22.408, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:22.586, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:22.586, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:22.763, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:22.763, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:22.938, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:22.938, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:23.112, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:23.112, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:23.290, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:23.290, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:23.462, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:23.462, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:23.641, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:23.641, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:24.000, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:24.000, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:24.179, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:24.179, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:24.356, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:24.356, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:24.533, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:24.533, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:24.711, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:24.711, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:24.888, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:24.888, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:25.062, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:25.062, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:25.241, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:25.241, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:25.434, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:25.434, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:25.630, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:25.630, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:25.817, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:25.817, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:26.002, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:26.002, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:26.187, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:26.187, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:26.372, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:26.372, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:26.562, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:26.562, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:26.750, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:26.750, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:26.937, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:26.937, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:27.118, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:27.118, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:27.300, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:27.300, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:27.483, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:27.483, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:27.666, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:27.666, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
2024-11-04T20:04:27.851, 10.0.1.101:5210, 10.0.2.101:33002, 10, 1448
2024-11-04T20:04:27.851, 10.0.1.101:5210, 10.0.2.101:33012, 10, 1448
