time,source,destination,cwnd,mss
2024-11-04T20:26:51.365, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:26:51.365, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:26:51.365, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:26:51.365, 10.0.2.101:58002, 10.0.1.101:5210, 37, 1448
2024-11-04T20:26:55.314, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:26:55.314, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:26:55.314, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:26:55.314, 10.0.2.101:58002, 10.0.1.101:5210, 37, 1448
2024-11-04T20:26:58.759, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:26:58.759, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:26:58.759, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:26:58.759, 10.0.2.101:58002, 10.0.1.101:5210, 36, 1448
2024-11-04T20:27:01.234, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:01.234, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:01.234, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:01.234, 10.0.2.101:58002, 10.0.1.101:5210, 41, 1448
2024-11-04T20:27:04.310, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:04.310, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:04.310, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:04.310, 10.0.2.101:58002, 10.0.1.101:5210, 38, 1448
2024-11-04T20:27:07.721, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:07.721, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:07.721, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:07.721, 10.0.2.101:58002, 10.0.1.101:5210, 41, 1448
2024-11-04T20:27:10.354, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:10.354, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:10.354, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:10.354, 10.0.2.101:58002, 10.0.1.101:5210, 38, 1448
2024-11-04T20:27:13.563, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:13.563, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:13.563, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:13.563, 10.0.2.101:58002, 10.0.1.101:5210, 41, 1448
2024-11-04T20:27:17.367, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:17.367, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:17.367, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:17.367, 10.0.2.101:58002, 10.0.1.101:5210, 38, 1448
2024-11-04T20:27:20.539, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:20.539, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:20.539, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:20.539, 10.0.2.101:58002, 10.0.1.101:5210, 36, 1448
2024-11-04T20:27:23.184, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:23.184, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:23.184, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:23.184, 10.0.2.101:58002, 10.0.1.101:5210, 35, 1448
2024-11-04T20:27:25.865, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:25.865, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:25.865, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:25.865, 10.0.2.101:58002, 10.0.1.101:5210, 37, 1448
2024-11-04T20:27:28.436, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:28.436, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:28.436, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:28.436, 10.0.2.101:58002, 10.0.1.101:5210, 37, 1448
2024-11-04T20:27:30.927, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:30.927, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:30.927, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:30.927, 10.0.2.101:58002, 10.0.1.101:5210, 39, 1448
2024-11-04T20:27:33.413, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:33.413, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:33.413, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:33.413, 10.0.2.101:58002, 10.0.1.101:5210, 40, 1448
2024-11-04T20:27:35.511, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:35.511, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:35.511, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
2024-11-04T20:27:35.511, 10.0.2.101:58002, 10.0.1.101:5210, 37, 1448
2024-11-04T20:27:37.677, 10.0.2.101:57994, 10.0.1.101:5210, 19, 1448
2024-11-04T20:27:37.677, 10.0.1.101:5210, 10.0.2.101:57994, 23, 1448
2024-11-04T20:27:37.677, 10.0.1.101:5210, 10.0.2.101:58002, 10, 1448
