time,source,destination,cwnd,mss
2024-11-04T21:26:41.949, 10.0.2.101:22, 10.0.2.1:52538, 10, 1448
2024-11-04T21:27:25.618, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:25.860, 10.0.2.101:55314, 10.0.1.101:5212, 2, 1448
2024-11-04T21:27:25.860, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:25.860, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:26.182, 10.0.2.101:55314, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:26.182, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:26.182, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:26.502, 10.0.2.101:55314, 10.0.1.101:5212, 11, 1448
2024-11-04T21:27:26.502, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:26.502, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:26.820, 10.0.2.101:55314, 10.0.1.101:5212, 19, 1448
2024-11-04T21:27:26.820, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:26.820, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:27.151, 10.0.2.101:55314, 10.0.1.101:5212, 15, 1448
2024-11-04T21:27:27.151, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:27.151, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:27.450, 10.0.2.101:55314, 10.0.1.101:5212, 12, 1448
2024-11-04T21:27:27.450, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:27.450, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:27.711, 10.0.2.101:55314, 10.0.1.101:5212, 8, 1448
2024-11-04T21:27:27.711, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:27.711, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:28.016, 10.0.2.101:55314, 10.0.1.101:5212, 9, 1448
2024-11-04T21:27:28.016, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:28.016, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:28.316, 10.0.2.101:55314, 10.0.1.101:5212, 12, 1448
2024-11-04T21:27:28.316, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:28.316, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:28.583, 10.0.2.101:55314, 10.0.1.101:5212, 6, 1448
2024-11-04T21:27:28.583, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:28.583, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:28.874, 10.0.2.101:55314, 10.0.1.101:5212, 8, 1448
2024-11-04T21:27:28.874, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:28.874, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:29.196, 10.0.2.101:55314, 10.0.1.101:5212, 12, 1448
2024-11-04T21:27:29.196, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:29.196, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:29.507, 10.0.2.101:55314, 10.0.1.101:5212, 8, 1448
2024-11-04T21:27:29.507, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:29.507, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:29.806, 10.0.2.101:55314, 10.0.1.101:5212, 7, 1448
2024-11-04T21:27:29.806, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:29.806, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:30.107, 10.0.2.101:55314, 10.0.1.101:5212, 13, 1448
2024-11-04T21:27:30.107, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:30.107, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:30.386, 10.0.2.101:55314, 10.0.1.101:5212, 15, 1448
2024-11-04T21:27:30.386, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:30.386, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:30.684, 10.0.2.101:55314, 10.0.1.101:5212, 15, 1448
2024-11-04T21:27:30.684, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:30.684, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
2024-11-04T21:27:30.988, 10.0.2.101:55314, 10.0.1.101:5212, 17, 1448
2024-11-04T21:27:30.988, 10.0.2.101:55312, 10.0.1.101:5212, 10, 1448
2024-11-04T21:27:30.988, 10.0.2.101:22, 10.0.2.1:55360, 10, 1448
