time,source,destination,cwnd,mss
2024-11-06T05:31:33.761, 10.0.3.101:22, 10.0.3.1:44206, 19, 1448
2024-11-06T05:31:54.327, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:54.453, 10.0.3.101:43206, 10.0.1.101:5211, 10, 1448
2024-11-06T05:31:54.453, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:54.709, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:54.709, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:54.709, 10.0.3.101:43210, 10.0.1.101:5211, 38, 1448
2024-11-06T05:31:54.888, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:54.888, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:54.888, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.060, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.060, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.060, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.233, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.233, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.233, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.361, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.361, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.361, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.507, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.507, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.507, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.600, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.600, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.600, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.735, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.735, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.735, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.850, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.850, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.850, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:55.966, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:55.966, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:55.966, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:56.106, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:56.106, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:56.106, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:56.197, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
2024-11-06T05:31:56.197, 10.0.3.101:22, 10.0.3.1:38518, 19, 1448
2024-11-06T05:31:56.197, 10.0.3.101:43210, 10.0.1.101:5211, 53, 1448
2024-11-06T05:31:56.338, 10.0.3.101:43206, 10.0.1.101:5211, 19, 1448
