time,source,destination,cwnd,mss
2024-11-10T14:33:58.366, 10.0.2.101:22, 10.0.2.1:50468, 10, 1448
2024-11-10T14:33:58.873, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.024, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.024, 10.0.2.101:34488, 10.0.1.101:5210, 411, 1448
2024-11-10T14:33:59.024, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.154, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.154, 10.0.2.101:34488, 10.0.1.101:5210, 228, 1448
2024-11-10T14:33:59.154, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.280, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.280, 10.0.2.101:34488, 10.0.1.101:5210, 228, 1448
2024-11-10T14:33:59.280, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.406, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.406, 10.0.2.101:34488, 10.0.1.101:5210, 228, 1448
2024-11-10T14:33:59.406, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.525, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.525, 10.0.2.101:34488, 10.0.1.101:5210, 228, 1448
2024-11-10T14:33:59.525, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.656, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.656, 10.0.2.101:34488, 10.0.1.101:5210, 228, 1448
2024-11-10T14:33:59.656, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.781, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.781, 10.0.2.101:34488, 10.0.1.101:5210, 233, 1448
2024-11-10T14:33:59.781, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:33:59.908, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:33:59.908, 10.0.2.101:34488, 10.0.1.101:5210, 244, 1448
2024-11-10T14:33:59.908, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.032, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.032, 10.0.2.101:34488, 10.0.1.101:5210, 256, 1448
2024-11-10T14:34:00.032, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.156, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.156, 10.0.2.101:34488, 10.0.1.101:5210, 266, 1448
2024-11-10T14:34:00.156, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.281, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.281, 10.0.2.101:34488, 10.0.1.101:5210, 270, 1448
2024-11-10T14:34:00.281, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.403, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.403, 10.0.2.101:34488, 10.0.1.101:5210, 270, 1448
2024-11-10T14:34:00.403, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.517, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.517, 10.0.2.101:34488, 10.0.1.101:5210, 277, 1448
2024-11-10T14:34:00.517, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.633, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.633, 10.0.2.101:34488, 10.0.1.101:5210, 278, 1448
2024-11-10T14:34:00.633, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.764, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.764, 10.0.2.101:34488, 10.0.1.101:5210, 143, 1448
2024-11-10T14:34:00.764, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:00.907, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:00.907, 10.0.2.101:34488, 10.0.1.101:5210, 163, 1448
2024-11-10T14:34:00.907, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.037, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.037, 10.0.2.101:34488, 10.0.1.101:5210, 180, 1448
2024-11-10T14:34:01.037, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.163, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.163, 10.0.2.101:34488, 10.0.1.101:5210, 192, 1448
2024-11-10T14:34:01.163, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.289, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.289, 10.0.2.101:34488, 10.0.1.101:5210, 206, 1448
2024-11-10T14:34:01.289, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.408, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.408, 10.0.2.101:34488, 10.0.1.101:5210, 207, 1448
2024-11-10T14:34:01.408, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.531, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.531, 10.0.2.101:34488, 10.0.1.101:5210, 218, 1448
2024-11-10T14:34:01.531, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.648, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.648, 10.0.2.101:34488, 10.0.1.101:5210, 230, 1448
2024-11-10T14:34:01.648, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.771, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.771, 10.0.2.101:34488, 10.0.1.101:5210, 239, 1448
2024-11-10T14:34:01.771, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:01.893, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:01.893, 10.0.2.101:34488, 10.0.1.101:5210, 244, 1448
2024-11-10T14:34:01.893, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.023, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.023, 10.0.2.101:34488, 10.0.1.101:5210, 244, 1448
2024-11-10T14:34:02.023, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.141, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.141, 10.0.2.101:34488, 10.0.1.101:5210, 244, 1448
2024-11-10T14:34:02.141, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.261, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.261, 10.0.2.101:34488, 10.0.1.101:5210, 244, 1448
2024-11-10T14:34:02.261, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.373, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.373, 10.0.2.101:34488, 10.0.1.101:5210, 248, 1448
2024-11-10T14:34:02.373, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.489, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.489, 10.0.2.101:34488, 10.0.1.101:5210, 248, 1448
2024-11-10T14:34:02.489, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.606, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.606, 10.0.2.101:34488, 10.0.1.101:5210, 249, 1448
2024-11-10T14:34:02.606, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.721, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.721, 10.0.2.101:34488, 10.0.1.101:5210, 251, 1448
2024-11-10T14:34:02.721, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.835, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.835, 10.0.2.101:34488, 10.0.1.101:5210, 261, 1448
2024-11-10T14:34:02.835, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:02.956, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:02.956, 10.0.2.101:34488, 10.0.1.101:5210, 248, 1448
2024-11-10T14:34:02.956, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:03.069, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:03.069, 10.0.2.101:34488, 10.0.1.101:5210, 151, 1448
2024-11-10T14:34:03.069, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:03.188, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:03.188, 10.0.2.101:34488, 10.0.1.101:5210, 168, 1448
2024-11-10T14:34:03.188, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:03.302, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:03.302, 10.0.2.101:34488, 10.0.1.101:5210, 182, 1448
2024-11-10T14:34:03.302, 10.0.2.101:22, 10.0.2.1:50474, 10, 1448
2024-11-10T14:34:03.420, 10.0.2.101:34472, 10.0.1.101:5210, 10, 1448
2024-11-10T14:34:03.420, 10.0.2.101:34488, 10.0.1.101:5210, 196, 1448
