time,source,destination,cwnd,mss
2024-11-11T13:48:50.177, 10.0.3.101:22, 10.0.3.1:60376, 10, 1448, 64128
2024-11-11T13:48:50.666, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:50.810, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:50.810, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:50.810, 10.0.3.101:41098, 10.0.1.101:5210, 118, 1448, 1063552
2024-11-11T13:48:50.935, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:50.935, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:50.935, 10.0.3.101:41098, 10.0.1.101:5210, 201, 1448, 1063552
2024-11-11T13:48:51.063, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:51.063, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:51.063, 10.0.3.101:41098, 10.0.1.101:5210, 280, 1448, 1063552
2024-11-11T13:48:51.191, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:51.191, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:51.191, 10.0.3.101:41098, 10.0.1.101:5210, 336, 1448, 1063552
2024-11-11T13:48:51.321, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:51.321, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:51.321, 10.0.3.101:41098, 10.0.1.101:5210, 263, 1448, 1063552
2024-11-11T13:48:51.464, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:51.464, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:51.464, 10.0.3.101:41098, 10.0.1.101:5210, 132, 1448, 1063552
2024-11-11T13:48:51.601, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:51.601, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:51.601, 10.0.3.101:41098, 10.0.1.101:5210, 145, 1448, 1063552
2024-11-11T13:48:51.739, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:51.739, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
