time,source,destination,cwnd,mss
2024-11-11T14:16:43.697, 10.0.3.101:22, 10.0.3.1:56378, 10, 1448, 64256
2024-11-11T14:17:04.322, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:04.478, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:04.478, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 253504
2024-11-11T14:17:04.478, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:04.660, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:04.660, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 907712
2024-11-11T14:17:04.660, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:04.842, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:04.842, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 1559040
2024-11-11T14:17:04.842, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:05.019, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:05.019, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:05.019, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:05.179, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:05.179, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:05.179, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:05.336, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:05.336, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:05.336, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:05.494, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:05.494, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:05.494, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:05.654, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:05.654, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:05.654, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:05.808, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:05.808, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:05.808, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:05.962, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:05.962, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:05.962, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:06.121, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:06.121, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:06.121, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:06.276, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:06.276, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:06.276, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:06.437, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:06.437, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:06.437, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:06.599, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:06.599, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:06.599, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:06.757, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:06.757, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:06.757, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:06.920, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:06.920, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:06.920, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:07.079, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:07.079, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:07.079, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:07.240, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:07.240, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:07.240, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:07.397, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
2024-11-11T14:17:07.397, 10.0.3.101:51638, 10.0.1.101:5211, 2, 1448, 2128512
2024-11-11T14:17:07.397, 10.0.3.101:51624, 10.0.1.101:5211, 2, 1448, 65536
2024-11-11T14:17:07.557, 10.0.3.101:22, 10.0.3.1:42334, 2, 1448, 64128
