time,source,destination,cwnd,mss
2024-11-11T17:23:47.635, 10.0.3.101:51600, 10.0.1.101:5210, 10, 1448, 65535
2024-11-11T17:23:47.635, 10.0.1.101:5210, 10.0.3.101:51600, 10, 1448, 65536
2024-11-11T17:23:48.087, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:48.087, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:48.087, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:48.087, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:48.681, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:48.681, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:48.681, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:48.681, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:49.189, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:49.189, 10.0.3.101:51608, 10.0.1.101:5210, 16, 1448, 1063552
2024-11-11T17:23:49.189, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:49.189, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:49.730, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:49.730, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:49.730, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:49.730, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:50.290, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:50.290, 10.0.3.101:51608, 10.0.1.101:5210, 16, 1448, 1063552
2024-11-11T17:23:50.290, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:50.290, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:50.787, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:50.787, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:50.787, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:50.787, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:51.335, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:51.335, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:51.335, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:51.335, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:51.876, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:51.876, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:51.876, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:51.876, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:52.528, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:52.528, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:52.528, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:52.528, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:53.106, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:53.106, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:53.106, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:53.106, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:53.576, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:53.576, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:53.576, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:53.576, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:54.104, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:54.104, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:54.104, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:54.104, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:54.609, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:54.609, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:54.609, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:54.609, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:55.134, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:55.134, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:55.134, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:55.134, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:55.623, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:55.623, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:55.623, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:55.623, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:56.150, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:56.150, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:56.150, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:56.150, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:56.702, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:56.702, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:56.702, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:56.702, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:57.197, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:57.197, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:57.197, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:57.197, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:57.722, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:57.722, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:23:57.722, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:57.722, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:58.241, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:58.241, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:58.241, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:58.241, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:58.822, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:58.822, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:58.822, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:58.822, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:59.382, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:59.382, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:59.382, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:59.382, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:23:59.875, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:23:59.875, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:23:59.875, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:23:59.875, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:00.438, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:00.438, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:00.438, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:00.438, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:01.028, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:01.028, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:24:01.028, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:01.028, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:01.605, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:01.605, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:01.605, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:01.605, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:02.205, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:02.205, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:02.205, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:02.205, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:02.757, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:02.757, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:02.757, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:02.757, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:03.316, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:03.316, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:03.316, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:03.316, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
