time,source,destination,cwnd,mss,snd_wnd
2024-11-20T14:53:30.965, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:30.965, 10.0.3.101:47602, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-20T14:53:30.965, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:30.965, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:31.535, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:31.535, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:31.535, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:31.535, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:32.126, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:32.126, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:32.126, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:32.126, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:32.738, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:32.738, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:32.738, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:32.738, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:33.353, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:33.353, 10.0.3.101:47602, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-20T14:53:33.353, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:33.353, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:33.923, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:33.923, 10.0.3.101:47602, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-20T14:53:33.923, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:33.923, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:34.572, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:34.572, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:34.572, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:34.572, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:35.173, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:35.173, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:35.173, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:35.173, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:35.788, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:35.788, 10.0.3.101:47602, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-20T14:53:35.788, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:35.788, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:36.465, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:36.465, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:36.465, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:36.465, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:37.098, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:37.098, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:37.098, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:37.098, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:37.711, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:37.711, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:37.711, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:37.711, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:38.331, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:38.331, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:38.331, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:38.331, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:38.997, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:38.997, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:38.997, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:38.997, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:39.565, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:39.565, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:39.565, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:39.565, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:40.244, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:40.244, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:40.244, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:40.244, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:40.857, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:40.857, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:40.857, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:40.857, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:41.492, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:41.492, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:41.492, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:41.492, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:42.062, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:42.062, 10.0.3.101:47602, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-20T14:53:42.062, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:42.062, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:42.691, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:42.691, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:42.691, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:42.691, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:43.246, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:43.246, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:43.246, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:43.246, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:43.873, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:43.873, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:43.873, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:43.873, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:44.505, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:44.505, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:44.505, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:44.505, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:45.174, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:45.174, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:45.174, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:45.174, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:45.793, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:45.793, 10.0.3.101:47602, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-20T14:53:45.793, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:45.793, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:46.394, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:46.394, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:46.394, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:46.394, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:47.020, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:47.020, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:47.020, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
2024-11-20T14:53:47.020, 10.0.3.101:47588, 10.0.1.101:5210, 13, 1448, 66688
2024-11-20T14:53:47.700, 10.0.1.101:5210, 10.0.3.101:47602, 10, 1448, 65536
2024-11-20T14:53:47.700, 10.0.3.101:47602, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-20T14:53:47.700, 10.0.1.101:5210, 10.0.3.101:47588, 14, 1448, 65536
