time,source,destination,cwnd,mss,snd_wnd
2024-12-16T14:22:43.192, 10.0.1.101:22, 10.0.1.1:59264, 10, 1448, 64128
2024-12-16T14:22:43.505, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:43.505, 10.0.1.101:5210, 10.0.3.101:60396, 13, 1448, 65536
2024-12-16T14:22:43.729, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:43.729, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:43.912, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:43.912, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:44.120, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:44.120, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:44.333, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:44.333, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:44.527, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:44.527, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:44.732, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:44.732, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:44.940, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:44.940, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:45.159, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:45.159, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:45.373, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:45.373, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:45.587, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:45.587, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:45.770, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:45.770, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:45.979, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:45.979, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:46.167, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:46.167, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:46.361, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:46.361, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:46.581, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:46.581, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:46.769, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:46.769, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:46.968, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:46.968, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:47.180, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:47.180, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:47.401, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:47.401, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:47.613, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:47.613, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:47.823, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:47.823, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:48.028, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:48.028, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:48.251, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:48.251, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:48.444, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:48.444, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:48.645, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
2024-12-16T14:22:48.645, 10.0.1.101:5210, 10.0.3.101:60396, 14, 1448, 65536
2024-12-16T14:22:48.837, 10.0.1.101:5210, 10.0.3.101:60408, 10, 1448, 65536
