time,source,destination,cwnd,mss,snd_wnd
2024-12-16T14:24:13.836, 10.0.2.101:22, 10.0.2.1:40842, 10, 1448, 64128
2024-12-16T14:24:34.478, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:34.668, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:34.668, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:34.668, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:34.848, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:34.848, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 611968
2024-12-16T14:24:34.848, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:34.990, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:34.990, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:34.990, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:35.107, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:35.107, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:35.107, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:35.316, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:35.316, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:35.316, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:35.529, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:35.529, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:35.529, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:35.753, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:35.753, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:35.753, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:35.926, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:35.926, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:35.926, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:36.093, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:36.093, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:36.093, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:36.301, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:36.301, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:36.301, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:36.501, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:36.501, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:36.501, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:36.707, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:36.707, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:36.707, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:36.893, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:36.893, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 482176
2024-12-16T14:24:36.893, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:37.107, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:37.107, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:37.107, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:37.322, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:37.322, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:37.322, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:37.529, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:37.529, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 900352
2024-12-16T14:24:37.529, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:37.742, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:37.742, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:37.742, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:37.928, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:37.928, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 866048
2024-12-16T14:24:37.928, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:38.108, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:38.108, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 711040
2024-12-16T14:24:38.108, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:38.264, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:38.264, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 398720
2024-12-16T14:24:38.264, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:38.435, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:38.435, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:38.435, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:38.657, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:38.657, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:38.657, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:38.835, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:38.835, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 972928
2024-12-16T14:24:38.835, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:39.010, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:39.010, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:39.010, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:39.178, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:39.178, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 721536
2024-12-16T14:24:39.178, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:39.415, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:39.415, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 844672
2024-12-16T14:24:39.415, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:39.617, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:39.617, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:39.617, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:39.814, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:39.814, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1055232
2024-12-16T14:24:39.814, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:39.973, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:39.973, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 390656
2024-12-16T14:24:39.973, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:40.184, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:40.184, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:40.184, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:40.386, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:40.386, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:40.386, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:40.546, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:40.546, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 607744
2024-12-16T14:24:40.546, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:40.715, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:40.715, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 653312
2024-12-16T14:24:40.715, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:40.894, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:40.894, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 568704
2024-12-16T14:24:40.894, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:41.062, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:41.062, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:41.062, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:41.256, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:41.256, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1055232
2024-12-16T14:24:41.256, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:41.449, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:41.449, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 915968
2024-12-16T14:24:41.449, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:41.637, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:41.637, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:41.637, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:41.840, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:41.840, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:41.840, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:42.016, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:42.016, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 706944
2024-12-16T14:24:42.016, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:42.195, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:42.195, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:42.195, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:42.412, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:42.412, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 686848
2024-12-16T14:24:42.412, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:42.631, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:42.631, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:42.631, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:42.829, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:42.829, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 668160
2024-12-16T14:24:42.829, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:43.023, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:43.023, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:43.023, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:43.264, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:43.264, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:43.264, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:43.436, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:43.436, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:43.436, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:43.598, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:43.598, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1008384
2024-12-16T14:24:43.598, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:43.767, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:43.767, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 795264
2024-12-16T14:24:43.767, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:43.942, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:43.942, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:43.942, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:44.109, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:44.109, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 200448
2024-12-16T14:24:44.109, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:44.329, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:44.329, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1063552
2024-12-16T14:24:44.329, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:44.530, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:44.530, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 619776
2024-12-16T14:24:44.530, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:44.711, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:44.711, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 751616
2024-12-16T14:24:44.711, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
2024-12-16T14:24:44.891, 10.0.2.101:22, 10.0.2.1:48710, 10, 1448, 64128
2024-12-16T14:24:44.891, 10.0.2.101:59330, 10.0.1.101:5211, 2184, 1448, 1006208
2024-12-16T14:24:44.891, 10.0.2.101:59320, 10.0.1.101:5211, 10, 1448, 65536
