time,source,destination,cwnd,mss,snd_wnd
2024-12-16T14:48:58.010, 10.0.2.101:22, 10.0.2.1:47954, 10, 1448, 64256
2024-12-16T14:49:18.540, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:18.659, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:18.659, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:18.747, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:18.747, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:18.835, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:18.835, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:18.923, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:18.923, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.009, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.009, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.098, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.098, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.184, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.184, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.272, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.272, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.360, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.360, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.447, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.447, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.534, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.534, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.621, 10.0.2.101:52764, 10.0.1.101:5211, 10, 524, 
2024-12-16T14:49:19.621, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.711, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:19.711, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.801, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
2024-12-16T14:49:19.801, 10.0.2.101:22, 10.0.2.1:42318, 14, 1448, 64128
2024-12-16T14:49:19.891, 10.0.2.101:52764, 10.0.1.101:5211, 1, 524, 
