time,source,destination,cwnd,mss
2024-09-17T21:00:31.490, 10.0.2.101:56878, 10.0.1.101:5210, 12, 1448
2024-09-17T21:00:31.490, 10.0.2.101:56866, 10.0.1.101:5210, 10, 1448
2024-09-17T21:00:31.490, 10.0.1.101:5210, 10.0.2.101:56878, 10, 1448
2024-09-17T21:00:31.490, 10.0.1.101:5210, 10.0.2.101:56866, 10, 1448
2024-09-17T21:00:31.773, 10.0.2.101:56878, 10.0.1.101:5210, 7, 1448
2024-09-17T21:00:31.773, 10.0.2.101:56866, 10.0.1.101:5210, 10, 1448
2024-09-17T21:00:31.773, 10.0.1.101:5210, 10.0.2.101:56878, 10, 1448
2024-09-17T21:00:31.773, 10.0.1.101:5210, 10.0.2.101:56866, 10, 1448
2024-09-17T21:00:32.029, 10.0.2.101:56878, 10.0.1.101:5210, 17, 1448
2024-09-17T21:00:32.029, 10.0.2.101:56866, 10.0.1.101:5210, 10, 1448
2024-09-17T21:00:32.029, 10.0.1.101:5210, 10.0.2.101:56878, 10, 1448
2024-09-17T21:00:32.029, 10.0.1.101:5210, 10.0.2.101:56866, 10, 1448
2024-09-17T21:00:32.326, 10.0.2.101:56878, 10.0.1.101:5210, 9, 1448
2024-09-17T21:00:32.326, 10.0.2.101:56866, 10.0.1.101:5210, 10, 1448
2024-09-17T21:00:32.326, 10.0.1.101:5210, 10.0.2.101:56878, 10, 1448
2024-09-17T21:00:32.326, 10.0.1.101:5210, 10.0.2.101:56866, 10, 1448
2024-09-17T21:00:32.595, 10.0.2.101:56878, 10.0.1.101:5210, 21, 1448
2024-09-17T21:00:32.595, 10.0.2.101:56866, 10.0.1.101:5210, 10, 1448
2024-09-17T21:00:32.595, 10.0.1.101:5210, 10.0.2.101:56878, 10, 1448
2024-09-17T21:00:32.595, 10.0.1.101:5210, 10.0.2.101:56866, 10, 1448
2024-09-17T21:00:32.861, 10.0.2.101:56878, 10.0.1.101:5210, 8, 1448
2024-09-17T21:00:32.861, 10.0.2.101:56866, 10.0.1.101:5210, 10, 1448
2024-09-17T21:00:32.861, 10.0.1.101:5210, 10.0.2.101:56878, 10, 1448
2024-09-17T21:00:32.861, 10.0.1.101:5210, 10.0.2.101:56866, 10, 1448
2024-09-17T21:00:33.112, 10.0.2.101:56878, 10.0.1.101:5210, 17, 1448
2024-09-17T21:00:33.112, 10.0.2.101:56866, 10.0.1.101:5210, 10, 1448
2024-09-17T21:00:33.112, 10.0.1.101:5210, 10.0.2.101:56878, 10, 1448
2024-09-17T21:00:33.112, 10.0.1.101:5210, 10.0.2.101:56866, 10, 1448
