time,source,destination,cwnd,mss
2024-09-17T21:00:52.137, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:52.355, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.355, 10.0.3.101:45276, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.355, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:52.554, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.554, 10.0.3.101:45276, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.554, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:52.750, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.750, 10.0.3.101:45276, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.750, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:52.946, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.946, 10.0.3.101:45276, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:52.946, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:53.141, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:53.141, 10.0.3.101:45276, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:53.141, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:53.422, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:53.422, 10.0.3.101:45276, 10.0.1.101:5211, 140, 1448
2024-09-17T21:00:53.422, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:53.704, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:53.704, 10.0.3.101:45276, 10.0.1.101:5211, 314, 1448
2024-09-17T21:00:53.704, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:53.898, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:53.898, 10.0.3.101:45276, 10.0.1.101:5211, 363, 1448
2024-09-17T21:00:53.898, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:54.095, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:54.095, 10.0.3.101:45276, 10.0.1.101:5211, 363, 1448
2024-09-17T21:00:54.095, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:54.287, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:54.287, 10.0.3.101:45276, 10.0.1.101:5211, 363, 1448
2024-09-17T21:00:54.287, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:54.482, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:54.482, 10.0.3.101:45276, 10.0.1.101:5211, 363, 1448
2024-09-17T21:00:54.482, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:54.701, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:54.701, 10.0.3.101:45276, 10.0.1.101:5211, 319, 1448
2024-09-17T21:00:54.701, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:54.894, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:54.894, 10.0.3.101:45276, 10.0.1.101:5211, 319, 1448
2024-09-17T21:00:54.894, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:55.096, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:55.096, 10.0.3.101:45276, 10.0.1.101:5211, 319, 1448
2024-09-17T21:00:55.096, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:55.292, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:55.292, 10.0.3.101:45276, 10.0.1.101:5211, 319, 1448
2024-09-17T21:00:55.292, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:55.510, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:55.510, 10.0.3.101:45276, 10.0.1.101:5211, 362, 1448
2024-09-17T21:00:55.510, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:55.697, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:55.697, 10.0.3.101:45276, 10.0.1.101:5211, 362, 1448
2024-09-17T21:00:55.697, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:55.882, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:55.882, 10.0.3.101:45276, 10.0.1.101:5211, 362, 1448
2024-09-17T21:00:55.882, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:56.064, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:56.064, 10.0.3.101:45276, 10.0.1.101:5211, 362, 1448
2024-09-17T21:00:56.064, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:56.271, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:56.271, 10.0.3.101:45276, 10.0.1.101:5211, 355, 1448
2024-09-17T21:00:56.271, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:56.457, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:56.457, 10.0.3.101:45276, 10.0.1.101:5211, 355, 1448
2024-09-17T21:00:56.457, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:56.639, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:56.639, 10.0.3.101:45276, 10.0.1.101:5211, 355, 1448
2024-09-17T21:00:56.639, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:56.827, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:56.827, 10.0.3.101:45276, 10.0.1.101:5211, 355, 1448
2024-09-17T21:00:56.827, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:57.016, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:57.016, 10.0.3.101:45276, 10.0.1.101:5211, 355, 1448
2024-09-17T21:00:57.016, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:57.225, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:57.225, 10.0.3.101:45276, 10.0.1.101:5211, 340, 1448
2024-09-17T21:00:57.225, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:57.439, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:57.439, 10.0.3.101:45276, 10.0.1.101:5211, 340, 1448
2024-09-17T21:00:57.439, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:57.653, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:57.653, 10.0.3.101:45276, 10.0.1.101:5211, 340, 1448
2024-09-17T21:00:57.653, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:57.861, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:57.861, 10.0.3.101:45276, 10.0.1.101:5211, 340, 1448
2024-09-17T21:00:57.861, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:58.057, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:58.057, 10.0.3.101:45276, 10.0.1.101:5211, 340, 1448
2024-09-17T21:00:58.057, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:58.257, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:58.257, 10.0.3.101:45276, 10.0.1.101:5211, 340, 1448
2024-09-17T21:00:58.257, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:58.479, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:58.479, 10.0.3.101:45276, 10.0.1.101:5211, 340, 1448
2024-09-17T21:00:58.479, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:58.683, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:58.683, 10.0.3.101:45276, 10.0.1.101:5211, 321, 1448
2024-09-17T21:00:58.683, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:58.886, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:58.886, 10.0.3.101:45276, 10.0.1.101:5211, 321, 1448
2024-09-17T21:00:58.886, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:59.085, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:59.085, 10.0.3.101:45276, 10.0.1.101:5211, 321, 1448
2024-09-17T21:00:59.085, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:59.314, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:59.314, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:00:59.314, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:59.511, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:59.511, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:00:59.511, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:59.716, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:59.716, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:00:59.716, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:00:59.905, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:00:59.905, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:00:59.905, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:00.110, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:00.110, 10.0.3.101:45276, 10.0.1.101:5211, 346, 1448
2024-09-17T21:01:00.110, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:00.303, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:00.303, 10.0.3.101:45276, 10.0.1.101:5211, 346, 1448
2024-09-17T21:01:00.303, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:00.489, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:00.489, 10.0.3.101:45276, 10.0.1.101:5211, 346, 1448
2024-09-17T21:01:00.489, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:00.677, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:00.677, 10.0.3.101:45276, 10.0.1.101:5211, 346, 1448
2024-09-17T21:01:00.677, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:00.888, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:00.888, 10.0.3.101:45276, 10.0.1.101:5211, 346, 1448
2024-09-17T21:01:00.888, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:01.079, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:01.079, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:01:01.079, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:01.268, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:01.268, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:01:01.268, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:01.456, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:01.456, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:01:01.456, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:01.643, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:01.643, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:01:01.643, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:01.830, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:01.830, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:01:01.830, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:02.016, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:02.016, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:01:02.016, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:02.204, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:02.204, 10.0.3.101:45276, 10.0.1.101:5211, 333, 1448
2024-09-17T21:01:02.204, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:02.416, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:02.416, 10.0.3.101:45276, 10.0.1.101:5211, 331, 1448
2024-09-17T21:01:02.416, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:02.609, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:02.609, 10.0.3.101:45276, 10.0.1.101:5211, 348, 1448
2024-09-17T21:01:02.609, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:02.799, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:02.799, 10.0.3.101:45276, 10.0.1.101:5211, 348, 1448
2024-09-17T21:01:02.799, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:02.989, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:02.989, 10.0.3.101:45276, 10.0.1.101:5211, 348, 1448
2024-09-17T21:01:02.989, 10.0.3.101:22, 10.0.3.1:45034, 10, 1448
2024-09-17T21:01:03.217, 10.0.3.101:45262, 10.0.1.101:5211, 10, 1448
2024-09-17T21:01:03.217, 10.0.3.101:45276, 10.0.1.101:5211, 348, 1448
