time,source,destination,cwnd,mss
2024-09-17T20:59:03.313, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:03.313, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:03.313, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:03.313, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:03.741, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:03.741, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:03.741, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:03.741, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:04.157, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:04.157, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.157, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.157, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:04.607, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:04.607, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.607, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.607, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:04.972, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:04.972, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.972, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.972, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:05.387, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:05.387, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.387, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.387, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:05.805, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:05.805, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.805, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.805, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:06.219, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:06.219, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.219, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.219, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:06.624, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:06.624, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.624, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.624, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:07.017, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:07.017, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.017, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.017, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:07.444, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:07.444, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.444, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.444, 10.0.1.101:5210, 10.0.2.101:41112, 10, 1448
2024-09-17T20:59:07.869, 10.0.1.101:5210, 10.0.2.101:41096, 10, 1448
2024-09-17T20:59:07.869, 10.0.2.101:41112, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.869, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
