time,source,destination,cwnd,mss
2024-09-17T20:59:03.265, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:03.732, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:03.732, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:03.732, 10.0.2.101:41112, 10.0.1.101:5210, 925, 1448
2024-09-17T20:59:03.941, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:03.941, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:03.941, 10.0.2.101:41112, 10.0.1.101:5210, 1851, 1448
2024-09-17T20:59:04.150, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.150, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:04.150, 10.0.2.101:41112, 10.0.1.101:5210, 1443, 1448
2024-09-17T20:59:04.341, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.341, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:04.341, 10.0.2.101:41112, 10.0.1.101:5210, 1443, 1448
2024-09-17T20:59:04.527, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.527, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:04.527, 10.0.2.101:41112, 10.0.1.101:5210, 1443, 1448
2024-09-17T20:59:04.730, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.730, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:04.730, 10.0.2.101:41112, 10.0.1.101:5210, 1109, 1448
2024-09-17T20:59:04.920, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:04.920, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:04.920, 10.0.2.101:41112, 10.0.1.101:5210, 1109, 1448
2024-09-17T20:59:05.125, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.125, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:05.125, 10.0.2.101:41112, 10.0.1.101:5210, 554, 1448
2024-09-17T20:59:05.328, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.328, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:05.328, 10.0.2.101:41112, 10.0.1.101:5210, 1366, 1448
2024-09-17T20:59:05.517, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.517, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:05.517, 10.0.2.101:41112, 10.0.1.101:5210, 1366, 1448
2024-09-17T20:59:05.724, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.724, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:05.724, 10.0.2.101:41112, 10.0.1.101:5210, 1099, 1448
2024-09-17T20:59:05.913, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:05.913, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:05.913, 10.0.2.101:41112, 10.0.1.101:5210, 1099, 1448
2024-09-17T20:59:06.117, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.117, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:06.117, 10.0.2.101:41112, 10.0.1.101:5210, 1099, 1448
2024-09-17T20:59:06.302, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.302, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:06.302, 10.0.2.101:41112, 10.0.1.101:5210, 1263, 1448
2024-09-17T20:59:06.500, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.500, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:06.500, 10.0.2.101:41112, 10.0.1.101:5210, 1263, 1448
2024-09-17T20:59:06.712, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.712, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:06.712, 10.0.2.101:41112, 10.0.1.101:5210, 1887, 1448
2024-09-17T20:59:06.900, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:06.900, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:06.900, 10.0.2.101:41112, 10.0.1.101:5210, 1887, 1448
2024-09-17T20:59:07.093, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.093, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:07.093, 10.0.2.101:41112, 10.0.1.101:5210, 1887, 1448
2024-09-17T20:59:07.301, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.301, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:07.301, 10.0.2.101:41112, 10.0.1.101:5210, 943, 1448
2024-09-17T20:59:07.491, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.491, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:07.491, 10.0.2.101:41112, 10.0.1.101:5210, 943, 1448
2024-09-17T20:59:07.698, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.698, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:07.698, 10.0.2.101:41112, 10.0.1.101:5210, 897, 1448
2024-09-17T20:59:07.886, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:07.886, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:07.886, 10.0.2.101:41112, 10.0.1.101:5210, 1362, 1448
2024-09-17T20:59:08.073, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:08.073, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:08.073, 10.0.2.101:41112, 10.0.1.101:5210, 1362, 1448
2024-09-17T20:59:08.277, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:08.277, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:08.277, 10.0.2.101:41112, 10.0.1.101:5210, 1362, 1448
2024-09-17T20:59:08.470, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:08.470, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:08.470, 10.0.2.101:41112, 10.0.1.101:5210, 1362, 1448
2024-09-17T20:59:08.685, 10.0.2.101:41096, 10.0.1.101:5210, 10, 1448
2024-09-17T20:59:08.685, 10.0.2.101:22, 10.0.2.1:51104, 10, 1448
2024-09-17T20:59:08.685, 10.0.2.101:41112, 10.0.1.101:5210, 1362, 1448
